txn_id,soc,V,I,P,R,soc_norm,delta_soc_20_80,dSOC_dt,dV_dSOC,dI_dSOC,dP_dSOC
8094,20.0,360.7,178.97,64554.0,2.0154215790355927,0.0,60.0,0.03333333333333333,0.44999999999998863,-0.19499999999999318,10.0
8094,21.0,361.15,178.775,64564.0,2.020137043770102,0.016666666666666666,60.0,0.03333333333333333,0.45000000000001705,-0.19499999999999318,10.0
8094,22.0,361.6,178.58,64574.0,2.024862806585284,0.03333333333333333,60.0,0.03333333333333333,0.42500000000001137,-0.17499999999999716,12.75
8094,23.0,362.0,178.425,64589.5,2.02886366820793,0.05,60.0,0.03333333333333333,0.39999999999997726,-0.15500000000000114,15.5
8094,24.0,362.4,178.27,64605.0,2.032871487070174,0.06666666666666667,60.0,0.03333333333333333,0.32499999999998863,-0.18999999999999773,-11.0
8094,25.0,362.65,178.04500000000002,64567.5,2.036844617933668,0.08333333333333333,60.0,0.03333333333333333,0.25,-0.22500000000000853,-37.5
8094,26.0,362.9,177.82,64530.0,2.0408278033966933,0.1,60.0,0.03333333333333333,0.125,-0.7575000000000074,-252.75
8094,27.0,362.9,176.53,64062.0,2.0557412337846257,0.11666666666666667,60.0,0.03333333333333333,0.0,-1.289999999999992,-468.0
8094,28.0,362.9,175.24,63594.0,2.0708742296279388,0.13333333333333333,60.0,0.03333333333333333,0.10000000000002274,-0.7424999999999926,-251.75
8094,29.0,363.1,175.04500000000002,63558.5,2.0743237453226313,0.15,60.0,0.03333333333333333,0.20000000000001705,-0.1950000000000074,-35.5
8094,30.0,363.3,174.85,63523.0,2.0777809551043753,0.16666666666666666,60.0,0.03333333333333333,0.14999999999997726,-0.060000000000002274,4.5
8094,31.0,363.4,174.925,63567.5,2.0774617693297124,0.18333333333333332,60.0,0.03333333333333333,0.09999999999999432,0.07500000000000284,44.5
8094,32.0,363.5,175.0,63612.0,2.077142857142857,0.2,60.0,0.04,0.0666666666666913,-0.09250000000000114,-22.08333333333212
8094,33.0,363.53333333333336,174.74,63523.333333333336,2.0804242493609553,0.21666666666666667,60.0,0.05,0.03333333333333144,-0.2600000000000051,-88.66666666666788
8094,34.0,363.56666666666666,174.48,63434.666666666664,2.0837154210606754,0.23333333333333334,60.0,0.05,0.03333333333333144,-0.2600000000000051,-88.66666666666788
8094,35.0,363.6,174.22,63346.0,2.087016416025715,0.25,60.0,0.04,0.0666666666666913,-0.12249999999998806,-32.83333333333212
8094,36.0,363.70000000000005,174.235,63369.0,2.087410680976842,0.26666666666666666,60.0,0.03333333333333333,0.09999999999999432,0.015000000000000568,23.0
8094,37.0,363.8,174.25,63392.0,2.0878048780487806,0.2833333333333333,60.0,0.03333333333333333,0.0999999999999659,-0.05500000000000682,-2.5
8094,38.0,363.9,174.125,63364.0,2.089877961234745,0.3,60.0,0.03333333333333333,0.09999999999999432,-0.125,-28.0
8094,39.0,364.0,174.0,63336.0,2.0919540229885056,0.31666666666666665,60.0,0.03333333333333333,0.10000000000002274,-0.11750000000000682,-25.5
8094,40.0,364.1,173.89,63313.0,2.093852435447697,0.3333333333333333,60.0,0.03333333333333333,0.09999999999999432,-0.10999999999999943,-23.0
8094,41.0,364.2,173.78,63290.0,2.0957532512371966,0.35,60.0,0.03333333333333333,0.0999999999999659,-0.06749999999999545,-7.25
