id,user_id,car_model_id,is_default,is_deleted,created_at,updated_at,created_user,updated_user
352,1682,43,0,1,02:25.0,02:25.0,system,system
353,1688,45,0,1,53:28.8,53:28.8,system,system
354,1692,44,0,1,17:07.5,17:07.5,system,system
355,1617,41,0,1,05:50.6,05:50.6,system,system
356,1694,40,0,1,58:39.4,58:39.4,system,system
357,1697,47,0,1,22:25.5,22:25.5,system,system
358,979,45,0,1,27:06.5,27:06.5,system,system
359,1704,45,0,1,02:45.3,02:45.3,system,system
360,1707,46,0,1,50:42.4,50:42.4,system,system
361,1711,45,0,1,18:05.6,18:05.6,system,system
362,1713,45,0,1,55:16.3,55:16.3,system,system
363,1718,45,0,1,50:50.4,50:50.4,system,system
364,1722,45,0,1,20:44.5,20:44.5,system,system
365,1723,45,0,1,25:15.8,25:15.8,system,system
366,1724,46,0,1,15:58.2,15:58.2,system,system
367,1712,45,0,1,39:04.8,39:04.8,system,system
368,1577,42,0,1,27:48.2,27:48.2,system,system
369,1446,41,0,1,22:54.6,22:54.6,system,system
370,1732,45,0,1,09:32.5,09:32.5,system,system
373,1736,1,0,1,53:17.0,53:17.0,system,system
374,1618,45,0,1,34:07.5,34:07.5,system,system
375,1741,45,0,1,22:41.9,22:41.9,system,system
376,1765,45,0,1,17:03.0,17:03.0,system,system
377,1766,42,0,1,22:01.2,22:01.2,system,system
378,1769,40,0,1,47:42.9,47:42.9,system,system
379,1729,45,0,1,23:37.1,23:37.1,system,system
381,1747,45,0,1,25:29.8,25:29.8,system,system
382,1684,41,0,1,59:33.1,59:33.1,system,system
383,1774,45,0,1,16:43.2,16:43.2,system,system
386,1778,45,0,1,25:51.8,25:51.8,system,system
387,1777,44,0,1,46:25.8,46:25.8,system,system
388,1483,45,0,1,52:27.4,52:27.4,system,system
389,654,42,0,1,57:49.4,57:49.4,system,system
390,1745,45,0,1,26:17.9,26:17.9,system,system
391,1791,44,0,1,13:38.2,13:38.2,system,system
392,1792,45,0,1,39:45.1,39:45.1,system,system
393,1077,45,0,1,01:02.9,01:02.9,system,system
394,1796,45,0,1,25:23.2,25:23.2,system,system
396,1799,45,0,1,08:41.1,08:41.1,system,system
397,1802,13,0,1,47:03.1,47:03.1,system,system
398,67,40,0,1,12:56.2,12:56.2,system,system
399,948,45,0,1,18:37.0,18:37.0,system,system
400,1277,40,0,1,57:14.4,57:14.4,system,system
401,1811,34,0,1,19:40.4,19:40.4,system,system
402,1815,45,0,1,01:41.2,01:41.2,system,system
403,720,45,0,1,43:23.9,43:23.9,system,system
404,674,41,0,1,49:52.8,49:52.8,system,system
405,668,40,0,1,14:28.8,14:28.8,system,system
406,1831,15,0,1,04:28.7,04:28.7,system,system
407,1727,45,0,1,32:06.1,32:06.1,system,system
408,1848,45,0,1,01:57.6,01:57.6,system,system
409,1854,45,0,1,16:55.0,16:55.0,system,system
410,1821,47,0,1,25:16.3,25:16.3,system,system
411,1861,11,0,1,11:18.7,11:18.7,system,system
412,1865,45,0,1,41:13.8,41:13.8,system,system
413,1872,46,0,1,21:04.2,21:04.2,system,system
414,1876,43,0,1,57:14.8,57:14.8,system,system
415,1742,45,0,1,08:43.0,08:43.0,system,system
416,1878,45,0,1,09:57.0,09:57.0,system,system
417,1879,42,0,1,54:09.5,54:09.5,system,system
418,1823,42,0,1,09:46.9,09:46.9,system,system
419,1805,42,0,1,32:49.8,32:49.8,system,system
420,653,41,0,1,49:47.7,49:47.7,system,system
421,1883,41,0,1,35:47.9,35:47.9,system,system
