txn_id,soc,V,I,P,R,soc_norm,delta_soc_20_80,dSOC_dt,dV_dSOC,dI_dSOC,dP_dSOC
21424,20.0,446.5,199.125,88909.0,2.2423101067168862,0.0,60.0,0.03333333333333333,0.0,-0.014999999999986358,-7.0
21424,21.0,446.5,199.11,88902.0,2.242479031691025,0.016666666666666666,60.0,0.03333333333333333,0.0,0.0049999999999954525,2.0
21424,22.0,446.5,199.135,88913.0,2.2421975042056896,0.03333333333333333,60.0,0.03333333333333333,0.0,0.024999999999991473,11.0
21424,23.0,446.5,199.16,88924.0,2.241916047399076,0.05,60.0,0.03333333333333333,0.0,-0.0049999999999954525,-2.25
21424,24.0,446.5,199.125,88908.5,2.2423101067168862,0.06666666666666667,60.0,0.03333333333333333,0.0,-0.03499999999999659,-15.5
21424,25.0,446.5,199.09,88893.0,2.2427043045858657,0.08333333333333333,60.0,0.03333333333333333,0.025000000000005684,-0.009999999999990905,0.5
21424,26.0,446.55,199.10500000000002,88909.5,2.242786469450792,0.1,60.0,0.03333333333333333,0.05000000000001137,0.015000000000000568,16.5
21424,27.0,446.6,199.12,88926.0,2.2428686219365206,0.11666666666666667,60.0,0.04,0.04166666666665719,0.007499999999993179,11.583333333335759
21424,28.0,446.6333333333333,199.12,88932.66666666667,2.2430360251774473,0.13333333333333333,60.0,0.05,0.03333333333333144,0.0,6.666666666664241
21424,29.0,446.6666666666667,199.12,88939.33333333333,2.2432034284183744,0.15,60.0,0.05,0.03333333333333144,0.0,6.666666666664241
21424,30.0,446.7,199.12,88946.0,2.2433708316593006,0.16666666666666666,60.0,0.04,0.06666666666663446,0.0024999999999977263,14.583333333335759
21424,31.0,446.79999999999995,199.125,88968.5,2.243816698053986,0.18333333333333332,60.0,0.03333333333333333,0.09999999999999432,0.0049999999999954525,22.5
21424,32.0,446.9,199.13,88991.0,2.244262542057952,0.2,60.0,0.03333333333333333,0.10000000000002274,0.007499999999993179,23.25
21424,33.0,447.0,199.14,89015.0,2.244652003615547,0.21666666666666667,60.0,0.03333333333333333,0.10000000000002274,0.010000000000005116,24.0
21424,34.0,447.1,199.15,89039.0,2.2450414260607583,0.23333333333333334,60.0,0.03333333333333333,0.15000000000000568,0.08750000000000568,69.0
21424,35.0,447.3,199.315,89153.0,2.2441863382083636,0.25,60.0,0.03333333333333333,0.19999999999998863,0.16499999999999204,114.0
21424,36.0,447.5,199.48,89267.0,2.2433326649288152,0.26666666666666666,60.0,0.04,0.15000000000000568,0.0658333333333303,59.5
21424,37.0,447.6,199.44666666666666,89272.0,2.2442089781729453,0.2833333333333333,60.0,0.05,0.09999999999999432,-0.03333333333333144,5.0
21424,38.0,447.7,199.41333333333333,89277.0,2.2450855843808504,0.3,60.0,0.05,0.09999999999999432,-0.03333333333333144,5.0
21424,39.0,447.8,199.38,89282.0,2.2459624836994685,0.31666666666666665,60.0,0.04,0.12500000000002842,-0.024166666666658898,14.0
21424,40.0,447.95000000000005,199.365,89305.0,2.2468838562435733,0.3333333333333333,60.0,0.03333333333333333,0.15000000000000568,-0.015000000000000568,23.0
21424,41.0,448.1,199.35,89328.0,2.247805367444194,0.35,60.0,0.022222222222222223,-5.425000000000011,-39.1375,-18188.5
21424,42.0,437.1,121.09,52928.0,3.609711784623008,0.36666666666666664,60.0,0.022222222222222223,-5.5,-39.114999999999995,-18193.5
21424,43.0,437.1,121.12,52941.0,3.608817701453104,0.38333333333333336,60.0,0.03333333333333333,0.0,0.030000000000001137,13.0
21424,44.0,437.1,121.15,52954.0,3.607924061081304,0.4,60.0,0.022222222222222223,0.14999999999997726,-0.020000000000003126,9.5
21424,45.0,437.4,121.08,52960.0,3.612487611496531,0.4166666666666667,60.0,0.016666666666666666,0.29999999999998295,-0.04000000000000625,19.0
21424,46.0,437.7,121.07,52992.0,3.6152638969191377,0.43333333333333335,60.0,0.022222222222222223,3.0250000000000057,19.512499999999996,9131.25
21424,47.0,443.45,160.105,71222.5,2.7697448549389465,0.45,60.0,0.03333333333333333,5.75,39.035,18230.5
21424,48.0,449.2,199.14,89453.0,2.255699507883901,0.4666666666666667,60.0,0.03333333333333333,3.075000000000017,19.515,9154.0
21424,49.0,449.6,199.135,89530.5,2.2577648329023026,0.48333333333333334,60.0,0.03333333333333333,0.4000000000000057,-0.0049999999999954525,77.5
21424,50.0,450.0,199.13,89608.0,2.259830261638126,0.5,60.0,0.03333333333333333,-2.4750000000000227,-19.754999999999995,-9171.25
21424,51.0,444.65,159.625,71188.0,2.7855912294440093,0.5166666666666667,60.0,0.03333333333333333,-5.349999999999994,-39.504999999999995,-18420.0
21424,52.0,439.3,120.12,52768.0,3.657176157176157,0.5333333333333333,60.0,0.022222222222222223,-2.9749999999999943,-19.262500000000003,-9031.0
21424,53.0,438.7,121.1,53126.0,3.6226259289843106,0.55,60.0,0.022222222222222223,-0.22499999999999432,0.5,192.5
21424,54.0,438.85,121.12,53153.0,3.623266182298547,0.5666666666666667,60.0,0.03333333333333333,0.15000000000000568,0.020000000000003126,27.0
21424,55.0,439.0,121.14,53180.0,3.623906224203401,0.5833333333333334,60.0,0.022222222222222223,0.22499999999999432,0.00999999999999801,31.5
21424,56.0,439.3,121.14,53216.0,3.6263826977051346,0.6,60.0,0.016666666666666666,0.25,0.0,30.5
21424,57.0,439.5,121.14,53241.0,3.6280336800396236,0.6166666666666667,60.0,0.022222222222222223,0.17499999999998295,-0.012499999999995737,16.0
