transaction_pk,car_name,nominal_kwh
17756,BYD Atto 3 Dynamic,49.92
17757,BYD Atto 3 Dynamic,49.92
17758,BYD Atto 3 Dynamic,49.92
17759,Vinfast VFe34,42.0
17760,BYD Atto 3 Dynamic,49.92
17762,BYD Atto 3 Dynamic,49.92
17764,BYD Atto 3 Dynamic,49.92
17765,BYD Atto 3 Dynamic,49.92
17766,BYD Atto 3 Dynamic,49.92
17767,BYD Atto 3 Dynamic,49.92
17768,BYD Atto 3 Dynamic,49.92
17781,BYD M6 Performance,55.4
17791,BYD M6 Performance,55.4
17796,BYD Dolphin GLX,44.9
17821,BYD M6 Performance,55.4
17829,BYD Han Performance,85.44
17830,BYD Atto 3 Premium,60.48
17833,BYD M6 Performance,55.4
17840,BYD Seal Perfomance,82.56
17848,BYD M6 Performance,55.4
17849,Volvo EC40 Ultra ,78.0
17851,Volvo EC40 Ultra ,78.0
17852,Volvo EC40 Ultra ,78.0
17853,BYD Atto 3 Dynamic,49.92
17855,Volvo EC40 Ultra ,78.0
