transaction_pk,car_name,nominal_kwh
14922,BYD Seal Advanced,61.44
14923,BYD Seal Perfomance,82.56
14949,BYD Atto 3 Dynamic,49.92
14955,BYD Dolphin GLX,44.9
14957,BYD Atto 3 Premium,60.48
14958,BYD Dolphin GLX,44.9
14959,BYD M6 Performance,55.4
14961,BYD Atto 3 Premium,60.48
14962,BYD Seal Advanced,61.44
14997,BYD Atto 3 Premium,60.48
14998,BYD Atto 3 Dynamic,49.92
15002,BYD M6 Performance,55.4
15007,BYD M6 Performance,55.4
15012,BYD Atto 3 Premium,60.48
15019,BYD Atto 3 Premium,60.48
15026,BYD Dolphin GLX,44.9
15027,BYD Atto 3 Premium,60.48
15031,BYD M6 Performance,55.4
15043,BYD M6 Performance,55.4
15051,BYD Atto 3 Dynamic,49.92
15055,Vinfast VF5 Plus,37.23
15059,BYD M6 Performance,55.4
15066,BYD M6 Performance,55.4
15071,Volvo EC40 Ultra ,78.0
15072,Volvo EC40 Ultra ,78.0
15073,Volvo EC40 Ultra ,78.0
15074,Volvo EC40 Ultra ,78.0
15075,Volvo EC40 Ultra ,78.0
15077,BYD Atto 3 Premium,60.48
15080,BYD Atto 3 Dynamic,49.92
15081,Volvo EC40 Ultra ,78.0
15082,Volvo EC40 Ultra ,78.0
15083,Volvo EC40 Ultra ,78.0
15094,BYD Atto 3 Premium,60.48
15098,Volvo EC40 Ultra ,78.0
15103,BYD Seal Perfomance,82.56
15104,BYD Atto 3 Premium,60.48
15114,BYD Atto 3 Premium,60.48
15116,BYD Seal Advanced,61.44
15118,BYD M6 Performance,55.4
15120,BYD Atto 3 Premium,60.48
15130,BYD Dolphin GLX,44.9
15131,Volvo EC40 Ultra ,78.0
15141,Vinfast VF5 Plus,37.23
15144,BYD Atto 3 Dynamic,49.92
15146,Vinfast VF5 Plus,37.23
15148,BYD Atto 3 Premium,60.48
15157,BYD Atto 3 Premium,60.48
15173,BYD M6 Performance,55.4
15174,BYD Atto 3 Premium,60.48
15180,BYD Dolphin GLX,44.9
15185,BYD Atto 3 Premium,60.48
15196,BYD Dolphin GLX,44.9
15204,BYD Atto 3 Dynamic,49.92
15208,BYD Atto 3 Dynamic,49.92
15212,Vinfast VF8,87.7
15213,BYD Atto 3 Dynamic,49.92
15217,BYD M6 Performance,55.4
15219,BYD Atto 3 Dynamic,49.92
15224,Vinfast VF8,87.7
15225,Vinfast VF8,87.7
15228,BYD M6 Performance,55.4
15232,BYD M6 Performance,55.4
15233,BYD M6 Performance,55.4
15234,BYD M6 Performance,55.4
15237,BYD M6 Performance,55.4
15238,BYD Dolphin GLX,44.9
15242,BYD Seal Perfomance,82.56
15243,BYD Atto 3 Dynamic,49.92
15250,BYD M6 Performance,55.4
15251,BYD M6 Performance,55.4
15266,BYD Atto 3 Premium,60.48
15281,BYD M6 Performance,55.4
15284,BYD Seal Advanced,61.44
15293,BYD Atto 3 Premium,60.48
15294,BYD Atto 3 Dynamic,49.92
15312,BYD Han Performance,85.44
15319,BYD Atto 3 Premium,60.48
15328,BYD Atto 3 Premium,60.48
15340,BYD Atto 3 Dynamic,49.92
15350,BYD Atto 3 Dynamic,49.92
15355,BYD Atto 3 Dynamic,49.92
15357,BYD Dolphin GLX,44.9
15364,BYD Atto 3 Premium,60.48
15365,BYD M6 Performance,55.4
15367,BYD Atto 3 Premium,60.48
15368,BYD Atto 3 Premium,60.48
15375,BYD M6 Performance,55.4
15379,BYD Atto 3 Dynamic,49.92
15382,BYD Atto 3 Dynamic,49.92
15383,BYD Atto 3 Premium,60.48
15384,BYD Atto 3 Dynamic,49.92
15385,BYD Dolphin GLX,44.9
15386,BYD Atto 3 Premium,60.48
15391,BYD Atto 3 Dynamic,49.92
15397,BYD Atto 3 Dynamic,49.92
15409,BYD Atto 3 Dynamic,49.92
15416,BYD Seal Advanced,61.44
15431,BYD M6 Performance,55.4
15455,BYD Seal Perfomance,82.56
15457,BYD Seal Perfomance,82.56
15458,BYD M6 Performance,55.4
15469,BYD Dolphin GLX,44.9
15470,BYD Atto 3 Premium,60.48
15471,BYD Atto 3 Premium,60.48
15472,BYD Atto 3 Premium,60.48
15473,BYD M6 Performance,55.4
15480,BYD Atto 3 Premium,60.48
15487,BYD Atto 3 Dynamic,49.92
15492,BYD Atto 3 Premium,60.48
15501,BYD Atto 3 Dynamic,49.92
15508,Vinfast VF5 Plus,37.23
15510,Vinfast VF5 Plus,37.23
15513,Vinfast VF5 Plus,37.23
15515,Vinfast VF5 Plus,37.23
15518,BYD Atto 3 Dynamic,49.92
15526,BYD Atto 3 Premium,60.48
15527,BYD Dolphin GLX,44.9
15528,BYD M6 Performance,55.4
15529,BYD M6 Performance,55.4
15544,BYD Atto 3 Dynamic,49.92
15555,BYD M6 Performance,55.4
15556,BYD M6 Performance,55.4
15557,BYD Atto 3 Dynamic,49.92
15570,BYD Atto 3 Premium,60.48
15572,BYD Atto 3 Premium,60.48
15581,BYD M6 Performance,55.4
15582,BYD M6 Performance,55.4
15583,BYD Atto 3 Premium,60.48
15601,BYD Atto 3 Premium,60.48
15607,BYD Dolphin GLX,44.9
15616,BYD Dolphin GLX,44.9
15633,BYD Atto 3 Premium,60.48
15635,BYD Atto 3 Dynamic,49.92
15641,BYD Atto 3 Premium,60.48
15643,BYD Seal Advanced,61.44
15644,BYD Atto 3 Premium,60.48
15647,BYD M6 Performance,55.4
15653,BYD Dolphin GLX,44.9
15656,BYD Seal Perfomance,82.56
15658,BYD M6 Performance,55.4
15668,BYD Dolphin GLX,44.9
15671,BYD Atto 3 Dynamic,49.92
15673,BYD Atto 3 Dynamic,49.92
15675,BYD M6 Performance,55.4
15677,BYD Atto 3 Dynamic,49.92
15681,BYD Atto 3 Dynamic,49.92
15683,BYD Atto 3 Dynamic,49.92
15685,BYD M6 Performance,55.4
